TimeStamp,Left_Pupil_Diameter,Right_Pupil_Diameter
4417463153,3.80484000,5.25558500
4417471485,3.83587600,4.98942600
4417479816,3.81185900,5.04843100
4417488148,3.91766400,5.11518900
4417496479,3.95971700,5.08261100
4417504811,3.83563200,4.95541400
4417513142,3.93406700,4.97512800
4417521474,3.94381700,5.07804900
4417529805,3.94590800,5.18321200
4417538137,3.80445900,5.15579200
4417546468,3.90640300,5.25094600
4417554800,3.95230100,5.24772600
4417563131,3.81694000,5.27146900
4417571463,3.81111100,5.25671400
4417579794,3.83203100,5.23988300
4417588126,3.83972200,5.16067500
4417596457,3.86596700,5.19548000
4417604789,3.85365300,5.27121000
4417613120,3.91644300,5.23133900
4417621452,3.94694500,5.23391700
4417629784,3.97973600,5.26867700
4417638115,3.92257700,5.18254100
4417646447,3.77293400,5.12335200
4417654778,3.77255200,4.95570400
4417663110,3.61022900,4.84381100
4417671441,3.64445500,4.90461700
4417679773,3.63569600,4.86529500
4417688104,3.75816300,4.70037800
4417696436,3.65478500,4.74896200
4417704767,3.71569800,4.83088700
4417713099,3.74818400,4.81704700
4417721430,3.76838700,4.84335300
4417729762,3.75242600,4.79759200
4417738093,3.77047700,4.77679400
4417746425,3.80737300,4.79049700
4417754756,3.78651400,4.76432800
4417763088,3.82304400,4.83670000
4417771419,3.76509100,4.83816500
4417779751,3.70759600,4.85716200
4417788082,3.71148700,4.81858800
4417796414,3.75331100,4.79505900
4417804746,3.67642200,4.74316400
4417813077,3.67794800,4.83891300
4417821409,3.65451000,4.87042200
4417829740,3.58996600,4.80062900
4417838072,3.62297100,4.80484000
4417846403,3.69621300,4.78756700
4417854735,3.67379800,4.86569200
4417863066,3.60784900,4.87501500
4417871398,3.66464200,4.92175300
4417879729,3.64134200,4.83511400
4417888061,3.72187800,4.87214700
4417896392,3.73832700,4.89430200
4417904724,3.67100500,4.93859900
4417913055,3.68663000,4.92834500
4417921387,3.65768400,4.88937400
4417929718,3.68586700,4.86001600
4417938050,3.66569500,4.94259600
4417946381,3.66662600,4.89627100
